StraightnessError,PeakVerticalAcceleration,RelativeTimeToPeakVerticalVelocity,Duration,VerticalSize,LoopSurface,RelativeDurationofPrimary,Segment,Slant,StartTime,RelativePenDownDuration,HorizontalSize,Class
0.048335,44.86516,0.368762,1.42459,0.37162,0.010862,0,0.0,1.668484,1.363908,0.825754,0.170453,1
0.053059,113.8885,0.448674,2.54027,0.592277,0.038667,0,0.0,1.587226,13.68564,0.483104,0.50658,0
0.043717,33.44581,0.4206,2.38717,0.42011,0.020612,0,0.0,1.586449,2.952817,0.6794,0.198615,0
0.04849,89.80457,0.48566,1.96422,0.472664,0.043011,0,23.0,1.612768,6.817038,0.525116,0.242985,1
0.058223,298.2053,0.466288,2.9767,0.585984,0.045699,0,30.5,1.747126,15.53866,0.433972,0.439263,1
0.057712,36.82249,0.41191,5.93874,0.352174,0.010805,0,20.5,1.416645,11.86694,0.556185,0.234069,1
0.063064,93.9294,0.433061,3.03384,0.373061,0.017089,0,33.5,1.475694,16.14703,0.550082,0.360042,0
0.067163,49.81703,0.411954,2.91901,0.310746,0.008259,0,20.0,1.399888,10.48347,0.779895,0.172344,0
0.051366,84.74072,0.447107,2.63363,0.539279,0.028157,0,29.5,1.601867,7.751759,0.481495,0.567542,1
0.073109,361.0965,0.420416,2.0501,0.279392,0.011003,0,25.0,1.826354,8.285161,0.651284,0.290995,0
0.053903,73.64607,0.462057,1.00193,0.255451,0.006453,0,22.5,1.534726,4.883214,0.635205,0.1553,1
0.043174,77.94831,0.52335,3.13446,0.556077,0.033756,0,4.285714,1.75542,2.140693,0.839407,0.165367,1
0.068575,51.93991,0.530446,1.86755,0.494635,0.000305,0,7.0,1.835971,2.105208,0.799631,0.294783,1
0.066234,41.18551,0.450915,2.72737,0.283362,0.015945,0,44.0,1.486071,17.56515,0.744526,0.285428,1
0.068912,36.35384,0.466563,2.0831,0.436005,0.022093,0,38.0,1.522669,16.79661,0.702849,0.318297,1
0.056753,56.75645,0.450969,1.94383,0.346612,0.026831,0,21.5,1.516611,6.053688,0.667179,0.250528,1
0.101155,57.16163,0.439291,2.55903,0.39868,0.014401,0,35.5,1.596293,14.72317,0.659474,0.399953,1
0.067831601,32.84232686,0.440633333,1.66711996,0.260104192,0.00652531,0,26.0,1.732235594,6.912912,0.633460784,0.203397749,0
0.065012999,247.8571465,0.47397,3.27873409,0.996767925,0.168298464,0,10.5,1.57757195,4.638985,0.65731,0.370093108,1
0.052782903,65.02634065,0.466113889,1.24343728,0.376448669,0.01433259,0,18.5,1.533003437,4.487072,0.723194444,0.2088774,1
0.031432737,38.32674934,0.3970875,1.573244192,0.326806871,0.011844461,0,4.5,1.264309819,5.791525,0.8110375,0.100540318,0
0.058136716,24.54507745,0.453412121,1.52559482,0.225456613,0.003539656,0,17.0,1.717389786,5.172661,0.670739394,0.245924522,1
0.049308307,37.80135756,0.467108929,6.9885655,0.39675224,0.004954586,0,28.5,1.398854805,13.93649,0.792942857,0.236185072,1
0.056671811,60.40857114,0.459630769,7.01666993,0.387061086,0.019365865,0,20.0,1.487651773,11.88009,0.656258974,0.222370291,0
0.041166279,48.9276744,0.488327273,1.33417385,0.586946117,0.045704452,0,6.0,1.516131627,1.708327,0.792881818,0.159870357,0
0.073571259,211.8827388,0.486627778,2.10700648,0.261394528,0.009248471,0,27.5,1.718224515,6.939596,0.614955556,0.200654693,1
0.04877132,96.2786651,0.44405493,1.60965,0.7454612,0.03639419,0,25.38028,1.561311,5.560663,0.673498592,0.355343997,1
0.047746249,21.57654363,0.443015789,1.95377,0.22486988,0.01643602,0,46.5,1.897273,2.657605,0.441526316,0.160625155,1
0.059742281,40.03804035,0.447876471,1.72986,0.29154143,0.00201211,0,0.0,1.736334,1.820682,0.5201,0.213597088,1
0.052793705,66.96052185,0.439793939,1.3761,0.50948456,0.02483754,0,18.56803838,1.432725,4.633509,0.664290909,0.159068463,1
0.057231934,68.85505724,0.38755,2.899,0.39248535,0.02351029,0,18.25792814,1.872207,1.707808,0.320075,0.291885516,0
0.057314158,86.80948351,0.460335135,2.0412,0.52757204,0.04004928,0,17.9478179,1.609734,4.844778,0.554683784,0.280202603,1
0.058021028,142.6792385,0.43338022,1.64029,0.25329518,0.00690446,0,17.63770766,1.524984,10.9607,0.669192308,0.202097101,1
0.065005302,51.14623329,0.449613415,1.19858,0.25786268,0.00637655,0,17.32759741,1.475176,8.509693,0.710443902,0.266543199,1
0.054732517,53.74271806,0.449274194,2.38546,0.30961306,0.01640376,0,17.01748717,1.562788,15.64159,0.579173118,0.250166388,1
0.050298322,79.79164686,0.464990566,2.16316,0.35199673,0.01107907,0,16.70737693,1.546612,12.99188,0.687087736,0.197353319,1
0.058607168,52.08885277,0.476762921,1.30709,0.31439266,0.01264401,0,16.39726669,1.576779,10.62632,0.653382022,0.242585475,1
0.06523546,35.90577689,0.450041935,1.59869,0.28566181,0.00969666,0,16.08715644,1.66661,13.44445,0.768849462,0.232894368,1
0.064882288,46.83093874,0.444919277,3.54304,0.31193504,0.02955617,0,15.7770462,1.540889,16.576,0.689366265,0.247751492,0
0.055643,100.7931,0.451258,2.09008,0.697728,0.098521,0,15.46693596,1.553791,8.310562,0.725278,0.513107,0
0.033326,161.463,0.465027,1.002,0.929486,0.051877,0,15.15682572,1.371862,1.437482,0.701791,0.317084,0
0.059187,132.9331,0.44802,1.2697,0.835739,0.042075,0,14.84671547,1.622814,2.195695,0.670065,0.422151,1
0.06384,175.3323,0.437447,1.38097,0.671635,0.07724,0,14.53660523,1.597857,8.225866,0.597419,0.698808,1
0.047495,1263.638,0.436524,2.989,0.730948,0.026419,0,14.22649499,1.59031,7.885271,0.364609,0.473405,1
0.043786,121.8852,0.412383,2.13747,1.030357,0.26139,0,13.91638474,1.47086,2.458683,0.540708,0.600512,1
0.06006,2180.301,0.434893,1.38698,0.967587,0.093733,0,13.6062745,1.486898,6.166312,0.688631,0.540684,1
0.028881,132.0615,0.41543,1.63238,1.415908,0.049486,0,13.29616426,1.49585,1.69669,0.8898,0.39829,1
0.044362,260.6156,0.444493,1.12707,0.845292,0.120412,0,12.98605402,1.660559,7.618925,0.618719,0.818778,0
0.048322,159.8911,0.457539,1.45666,0.911554,0.061292,0,12.67594377,1.55738,7.420639,0.671331,0.714919,1
0.031433,122.4181,0.458629,2.99589,0.817452,0.068777,0,12.36583353,1.759429,1.148114,0.214657,0.326603,1
0.036894,106.6702,0.462625,1.34542,0.915144,0.035432,0,12.05572329,1.407749,0.97415,0.83835,0.54397,1
0.053973,154.0717,0.447535,1.34542,0.947882,0.05658,0,11.74561305,1.526476,4.209971,0.765559,0.527542,1
0.053134,84.77907,0.553345,2.17267,0.858562,0.019988,0,11.4355028,1.423004,4.987232,0.542071,1.359133,1
0.0519,337.3545,0.517059,1.43785,1.013173,0.067049,0,47.5,1.51013,7.271467,0.489945,0.605963,1
0.056768011,106.7858093,0.41931,1.50612,0.6847027,0.0863531,0,0.0,1.456296,1.7163,0.84473,0.410292262,1
0.03926797,133.8717703,0.42228,1.43081,0.96447128,9.49e-05,0,11.12539256,1.636947,1.10457,0.78285,0.367326052,1
0.04223703,110.5772662,0.527925,1.39238,1.10855443,0.00835,0,10.81528232,1.411505,0.667225,0.684,0.390316336,0
0.048540446,93.18457116,0.402409091,1.96571,0.96148419,0.08451542,0,10.50517208,1.525363,2.212509,0.645509091,0.362018092,1
0.061032818,132.1372812,0.432630769,1.54714,1.02544503,0.11057838,0,10.19506183,1.543404,7.866737,0.549978846,0.890842639,1
0.055715221,444.4309998,0.479084615,1.98028,0.76812883,0.05668649,0,9.884951591,1.480347,6.635598,0.624888462,0.63844858,1
0.070868001,67.11094282,0.413377778,1.23528,0.66300605,0.02312585,0,9.574841348,1.331208,1.162256,0.728255556,0.531190004,1
0.043067702,133.1955142,0.4371,1.85522,1.0010876,0.09485644,0,9.264731106,1.6003,1.556533,0.796055556,0.338146721,0
0.052363083,83.9060419,0.347422222,1.97417,0.73554526,0.06227761,0,8.954620863,1.752905,1.432078,0.826877778,0.366428992,1
0.059729137,118.8492783,0.406644444,5.50585,0.90374814,0.03460372,0,8.644510621,1.520337,7.582126,0.625092593,0.468902589,1
0.057275149,85.75830036,0.42735,1.51563,1.1261752,0.14170033,0,8.334400378,1.30943,1.378288,0.8029375,0.452177799,1
0.040373119,260.2219861,0.450516667,2.34351,1.00251831,0.10298935,0,8.024290135,1.338523,8.680636,0.679252381,0.660715318,1
0.064990449,120.4466164,0.4794125,1.69623,0.99915929,0.19098508,0,7.714179893,1.789254,2.235581,0.55231875,0.539925325,0
0.043366803,63.94593275,0.446945455,4.36026,1.00022177,0.15016976,0,7.40406965,1.402266,3.068764,0.736036364,0.347856337,1
0.048787228,81.47824947,0.366133333,1.93044,0.80644447,0.09011244,0,7.093959408,1.557337,1.443667,0.851355556,0.318191421,1
0.057891717,140.6886283,0.43723,1.49318,0.82315798,0.04838431,0,6.783849165,1.459012,8.120797,0.594724286,0.651359643,0
0.056818958,215.6287291,0.423892982,1.35519,0.83128152,0.06230299,0,6.473738922,1.669848,8.053961,0.713110526,0.744924878,1
0.06080598,129.6244615,0.550563158,1.85176,1.42735763,0.74500333,0,6.16362868,1.594548,3.754584,0.781452632,1.47869617,1
0.050949961,125.47128,0.463808333,1.78271,1.16182534,0.08472756,0,5.853518437,1.310048,4.600592,0.713108333,0.648097556,1
0.059183212,108.1833053,0.494458333,1.52731,0.74452445,0.05828699,0,5.543408194,1.720327,4.872183,0.633411111,1.173476611,0
0.036109596,150.2639124,0.415166667,1.66656,1.15006822,0.08942623,0,5.233297952,1.349725,5.808533,0.708561905,0.690586149,1
0.035191588,73.84873982,0.4008875,4.41555,1.20764488,0.17463563,0,4.923187709,1.652971,2.6692,0.8733,0.323572707,1
0.054834383,87.97025885,0.436891489,2.07385,0.78738956,0.05292746,0,4.613077467,1.549772,8.148885,0.516189362,0.475037318,1
0.039030946,146.9646749,0.403733333,1.99747,0.86463118,0.01872253,0,4.302967224,1.479059,7.930183,0.645677778,0.666415666,1
0.060145585,70.44965352,0.3596125,1.75207,0.62876839,0.1791455,0,3.992856981,2.364274,1.27,0.6058625,0.520171477,0
0.048631454,254.4685599,0.402988372,3.24783,1.14447241,0.0452251,0,48.5,1.615163,7.148205,0.636748837,0.691310427,1
0.035814735,128.7088325,0.399582222,1.93596,1.08984936,0.08589588,0,0.0,1.466612,7.793069,0.660228889,0.800703744,1
